date,hour,temp,humidity,wind_speed,weather,dayofweek
20170122,22,2,48,7.2,1,7
20170122,23,2,52,14.4,1,7
20170123,8,1,75,7.2,1,1
20170123,9,4,52,14.4,1,1
20170123,10,5,42,14.4,1,1
20170123,11,6,39,14.4,1,1
20170123,12,7,37,10.8,1,1
20170123,13,7,37,14.4,1,1
20170123,14,7,37,18.0,1,1
20170123,15,7,37,14.4,1,1
20170123,16,6,36,10.8,1,1
20170123,17,5,36,14.4,1,1
20170123,18,5,39,14.4,1,1
20170123,19,4,45,18.0,1,1
20170123,20,3,56,14.4,1,1
20170123,21,3,56,10.8,1,1
20170123,22,2,60,10.8,1,1
20170123,23,2,65,7.2,1,1
20170124,8,3,70,7.2,1,2
20170124,9,5,61,14.4,1,2
20170124,10,6,57,18.0,1,2
20170124,11,8,50,14.4,1,2
20170124,12,9,43,14.4,1,2
20170124,13,9,43,10.8,1,2
20170124,14,9,43,14.4,1,2
20170124,15,9,40,10.8,1,2
20170124,16,8,43,10.8,1,2
20170124,17,7,49,14.4,1,2
20170124,18,7,53,18.0,1,2
20170124,19,6,61,14.4,1,2
20170124,20,6,61,14.4,1,2
20170124,21,6,61,14.4,1,2
20170124,22,6,61,10.8,1,2
20170124,23,5,65,10.8,1,2
20170125,8,7,66,10.8,1,3
20170125,9,8,62,14.4,1,3
20170125,10,8,62,18.0,1,3
20170125,11,10,54,14.4,1,3
20170125,12,10,54,14.4,1,3
20170125,13,11,50,18.0,1,3
20170125,14,11,50,10.8,1,3
20170125,15,11,50,14.4,1,3
20170125,16,10,58,10.8,1,3
20170125,17,9,62,14.4,1,3
20170125,18,8,66,14.4,1,3
20170125,19,7,71,14.4,1,3
20170125,20,7,66,10.8,1,3
20170125,21,7,71,10.8,1,3
20170125,22,6,76,10.8,1,3
20170125,23,6,76,7.2,1,3
20170126,8,6,81,14.4,1,4
20170126,9,8,76,18.0,1,4
20170126,10,10,66,14.4,1,4
20170126,11,12,58,18.0,1,4
20170126,12,12,58,14.4,1,4
20170126,13,12,58,18.0,1,4
20170126,14,13,54,14.4,1,4
20170126,15,13,51,14.4,1,4
20170126,16,12,51,14.4,1,4
20170126,17,11,54,18.0,1,4
20170126,18,10,62,14.4,1,4
20170126,19,9,71,14.4,1,4
